pregid,postgid,n_syn,n_apical,n_basal,frac_apical,category,mean_cpre_apical,mean_cpost_apical,mean_cpre_basal,mean_cpost_basal,apical_syn_ids,basal_syn_ids
180164,197248,4,2,2,0.5,mixed,0.17154881890365553,0.018927921916490415,0.06085928640865657,0.0002495684317541872,348477226;348477227,348477224;348477225
180236,203656,8,5,3,0.625,mixed,0.04175732648336886,0.005131126820132528,0.08583364742669299,0.003723195046676379,375936160;375936161;375936163;375936164;375936165,375936158;375936159;375936162
180329,189548,4,0,4,0.0,basal,,,0.11882014541230573,0.01577427668263267,,314608108;314608109;314608110;314608111
180687,187024,7,0,7,0.0,basal,,,0.07539202288181536,0.008833314751288884,,303146349;303146350;303146351;303146352;303146353;303146354;303146355
180723,207048,10,2,8,0.2,mixed,0.06808807573655785,0.006266165505202884,0.09098872958038644,0.00463028071080904,390637388;390637389,390637380;390637381;390637382;390637383;390637384;390637385;390637386;390637387
180815,206160,14,6,8,0.42857142857142855,mixed,0.09642245260412059,0.024168680999045775,0.18210644074638543,0.004680194667317489,386714985;386714986;386714990;386714991;386714993;386714994,386714987;386714988;386714989;386714992;386714995;386714996;386714997;386714998
180834,205125,5,1,4,0.2,mixed,0.13665589901871736,4.222619619427649e-05,0.09615969439320685,0.0014052599161291266,382243742,382243740;382243741;382243743;382243744
181002,188173,9,0,9,0.0,basal,,,0.5886368425963602,6.378422462946631e-05,,308315299;308315300;308315301;308315302;308315303;308315304;308315305;308315306;308315307
181023,208822,4,0,4,0.0,basal,,,0.050671429166427306,0.008454164687634155,,398351429;398351430;398351431;398351432
181295,210119,9,5,4,0.5555555555555556,mixed,0.05460119983867574,0.00826194658038503,0.15640872266477596,0.0001267977978604891,404069811;404069816;404069817;404069818;404069819,404069812;404069813;404069814;404069815
181588,206273,8,4,4,0.5,mixed,0.052736629094246174,0.0005438346152035235,0.04312864433284015,0.012372800122106425,387227455;387227456;387227457;387227458,387227451;387227452;387227453;387227454
182072,199843,7,1,6,0.14285714285714285,mixed,0.03899628573373611,0.022143853138942206,0.07646589342439676,0.01058136195780166,359590917,359590918;359590919;359590920;359590921;359590922;359590923
182354,185997,10,1,9,0.1,mixed,0.08840730430648182,0.0006515717065549666,0.11609514392576036,0.006442061652262446,298573902,298573895;298573896;298573897;298573898;298573899;298573900;298573901;298573903;298573904
182369,181607,5,1,4,0.2,mixed,0.03382222238237723,0.02194167394753319,0.08698169302611658,0.011135434566099993,278810239,278810235;278810236;278810237;278810238
182581,208651,4,2,2,0.5,mixed,0.04304900159360682,0.0018091594996163275,0.048425136277551545,0.002862914532912533,397600126;397600127,397600125;397600128
182967,198780,10,0,10,0.0,basal,,,0.052487330055820944,0.35350597072935835,,354917775;354917776;354917777;354917778;354917779;354917780;354917781;354917782;354917783;354917784
183423,197906,7,1,6,0.14285714285714285,mixed,0.04933476313252847,7.009463114689829e-05,0.052022303609184896,0.014535756968513946,351235380,351235378;351235379;351235381;351235382;351235383;351235384
183796,186882,11,0,11,0.0,basal,,,0.2867092965768183,0.0015644947135987047,,302504977;302504978;302504979;302504980;302504981;302504982;302504983;302504984;302504985;302504986;302504987
184015,184061,7,0,7,0.0,basal,,,0.05041310327325167,0.006307402614071199,,289900563;289900564;289900565;289900566;289900567;289900568;289900569
184090,195582,9,4,5,0.4444444444444444,mixed,0.050576077376506906,0.01670701892769186,0.5973350945298603,0.001211070858821568,341308489;341308490;341308491;341308492,341308484;341308485;341308486;341308487;341308488
185337,193957,4,1,3,0.25,mixed,0.08461477924576327,3.777898064216927e-05,0.049067411145686336,0.004418401095690146,334382417,334382418;334382419;334382420
185785,189513,5,1,4,0.2,mixed,0.030519269291960145,0.00018392540568524333,0.04019967414947133,0.004232989227366325,314468891,314468887;314468888;314468889;314468890
185875,206473,23,2,21,0.08695652173913043,mixed,0.1717451575013995,0.14201796963132632,0.07863534719800648,0.21809679051637762,388130219;388130221,388130204;388130205;388130206;388130207;388130208;388130209;388130210;388130211;388130212;388130213;388130214;388130215;388130216;388130217;388130218;388130220;388130222;388130223;388130224;388130225;388130226
186117,200624,6,0,6,0.0,basal,,,0.04018971136306092,0.019993946780650293,,362954684;362954685;362954686;362954687;362954688;362954689
186198,204134,4,3,1,0.75,mixed,0.050924873174107106,0.000537834493285161,0.040493933229479806,0.005329832379623697,377956722;377956723;377956724,377956725
186356,189091,11,2,9,0.18181818181818182,mixed,0.042892962793221044,0.004776677675831006,0.05086373473737996,0.0061049477643986185,312579604;312579605,312579598;312579599;312579600;312579601;312579602;312579603;312579606;312579607;312579608
186407,182154,11,6,5,0.5454545454545454,mixed,0.144718030274037,0.0029014753986095917,0.10497205950226607,0.002854047249704442,281322975;281322976;281322977;281322980;281322981;281322982,281322973;281322974;281322978;281322979;281322983
186810,208210,6,2,4,0.3333333333333333,mixed,0.07712115583474576,5.708255850126067e-05,0.06870558642287743,0.0068160916265558565,395700902;395700903,395700900;395700901;395700904;395700905
187212,192870,4,0,4,0.0,basal,,,0.054136569842457016,0.010139672777771551,,329465375;329465376;329465377;329465378
187417,207485,9,1,8,0.1111111111111111,mixed,0.15057881335522888,0.022249168400770163,0.07388617098490212,0.008027378689182102,392530205,392530199;392530200;392530201;392530202;392530203;392530204;392530206;392530207
189027,190257,10,0,10,0.0,basal,,,0.4559697110231073,0.005201123686435691,,317711994;317711995;317711996;317711997;317711998;317711999;317712000;317712001;317712002;317712003
189143,193722,7,2,5,0.2857142857142857,mixed,0.06534951285733182,0.00012667649556181694,0.04457526154067374,0.01492019641235831,333365845;333365846,333365842;333365843;333365844;333365847;333365848
189265,184120,3,0,3,0.0,basal,,,0.056641995576352466,0.0023917311182545023,,290200262;290200263;290200264
189415,192019,4,0,4,0.0,basal,,,0.05034222753392867,0.000810350685223452,,325601244;325601245;325601246;325601247
189500,185042,9,3,6,0.3333333333333333,mixed,0.05798780166147979,4.85539856231395e-05,0.05857893987662514,0.005114360593649132,294250783;294250784;294250786,294250780;294250781;294250782;294250785;294250787;294250788
190073,201891,10,1,9,0.1,mixed,0.02945573633968027,0.022654466834798763,0.06060600835847442,0.015576176726707679,368403824,368403821;368403822;368403823;368403825;368403826;368403827;368403828;368403829;368403830
190353,181954,5,0,5,0.0,basal,,,0.08200777747826846,0.009693601903771802,,280407258;280407259;280407260;280407261;280407262
190392,207670,6,1,5,0.16666666666666666,mixed,0.0813143304462853,0.03873688090363799,0.05109197760108851,0.012728477994320536,393339607,393339605;393339606;393339608;393339609;393339610
190525,205438,5,0,5,0.0,basal,,,0.10697225185351786,0.008764953145885513,,383631526;383631527;383631528;383631529;383631530
190541,188497,16,4,12,0.25,mixed,0.05534454888650829,0.015765723599817455,0.07520398444083483,0.013660070411725421,309894833;309894835;309894847;309894848,309894834;309894836;309894837;309894838;309894839;309894840;309894841;309894842;309894843;309894844;309894845;309894846
191341,181892,4,0,4,0.0,basal,,,0.05650381804312854,0.016483634403627823,,280115934;280115935;280115936;280115937
191917,186517,5,0,5,0.0,basal,,,0.04634197008026347,0.01686005371556201,,300884795;300884796;300884797;300884798;300884799
192816,200992,6,3,3,0.5,mixed,0.5555697509834656,3.6782658078305493e-05,0.05326273017265463,0.015356215454037639,364515969;364515970;364515971,364515972;364515973;364515974
193467,199529,5,0,5,0.0,basal,,,0.05036230099313878,0.008305913499915005,,358178293;358178294;358178295;358178296;358178297
193481,196243,30,9,21,0.3,mixed,0.2280182327215296,0.3215223817492936,0.06460937334523915,0.1715710923686029,344143086;344143087;344143088;344143089;344143090;344143091;344143095;344143096;344143097,344143074;344143075;344143076;344143077;344143078;344143079;344143080;344143081;344143082;344143083;344143084;344143085;344143092;344143093;344143094;344143098;344143099;344143100;344143101;344143102;344143103
193709,181631,9,3,6,0.3333333333333333,mixed,0.05183354935774224,0.01280114431580229,0.07089876832509034,0.0018786210454766836,278917290;278917291;278917294,278917287;278917288;278917289;278917292;278917293;278917295
194277,200870,5,2,3,0.4,mixed,0.04509416966797436,4.8502565596357066e-05,0.05070983286117862,0.003707850078987536,363988363;363988366,363988362;363988364;363988365
194532,187415,19,5,14,0.2631578947368421,mixed,0.05528570135763956,0.02712462730252315,0.06713033821985091,0.007825658280998089,304869726;304869727;304869728;304869729;304869730,304869715;304869716;304869717;304869718;304869719;304869720;304869721;304869722;304869723;304869724;304869725;304869731;304869732;304869733
194969,207559,8,0,8,0.0,basal,,,0.1470571018631151,0.008463916209725576,,392867483;392867484;392867485;392867486;392867487;392867488;392867489;392867490
195214,208946,5,1,4,0.2,mixed,0.03929914644304202,0.008245177976378311,0.09708437933750386,0.0029228148086928303,398929195,398929191;398929192;398929193;398929194
196430,183658,10,0,10,0.0,basal,,,0.46954081048792284,0.0025313274768080994,,288130788;288130789;288130790;288130791;288130792;288130793;288130794;288130795;288130796;288130797
196562,186098,7,0,7,0.0,basal,,,0.08647221747992291,0.00662976886112805,,299014785;299014786;299014787;299014788;299014789;299014790;299014791
196748,180959,5,1,4,0.2,mixed,0.04090463233050586,0.015459949720002553,0.05173352134668377,0.009717445054998056,275880157,275880153;275880154;275880155;275880156
197652,203951,7,1,6,0.14285714285714285,mixed,0.06468659198617491,0.02162658110214964,0.10952304699901426,0.009497568789200342,377158504,377158501;377158502;377158503;377158505;377158506;377158507
198242,189050,4,0,4,0.0,basal,,,0.04805439913390073,0.011769306326345513,,312390449;312390450;312390451;312390452
198864,197551,5,0,5,0.0,basal,,,0.0550265614050169,0.008127664276132904,,349771028;349771029;349771030;349771031;349771032
