config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0,0",2.4243144472135043,0.12341960200142207,10,199879,192945
"0,0,0,0,0,0,0,0,0,0,1",2.679789231517637,0.13648248571000432,10,199879,192945
"0,0,0,0,0,0,0,0,0,1,0",2.594063303964073,0.176188491306219,10,199879,192945
"0,0,0,0,0,0,0,0,1,0,0",2.6742506256635226,0.0793149882052455,10,199879,192945
"0,0,0,0,0,0,0,1,0,0,0",2.7745355900875266,0.14479517584060192,10,199879,192945
"0,0,0,0,0,0,1,0,0,0,0",2.503365576794235,0.1094949213803811,10,199879,192945
"0,0,0,0,0,1,0,0,0,0,0",2.704859563291437,0.17029647640464812,10,199879,192945
"0,0,0,0,1,0,0,0,0,0,0",2.894786490417334,0.13097911126082043,10,199879,192945
"0,0,0,1,0,0,0,0,0,0,0",2.651598287442316,0.12499241091554315,10,199879,192945
"0,0,1,0,0,0,0,0,0,0,0",2.70242766655023,0.195165671441335,10,199879,192945
"0,1,0,0,0,0,0,0,0,0,0",2.671517023925678,0.11778771919278185,10,199879,192945
"1,0,0,0,0,0,0,0,0,0,0",2.9338941139282424,0.11929037889296232,10,199879,192945
"1,1,1,1,1,1,1,1,1,1,1",5.680009626090962,0.13110026226116114,10,199879,192945
