config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0",0.7189223512483608,0.08837318336998715,10,1840,197588
"0,0,0,0,0,0,0,1",0.9874826195099032,0.06709579076471381,10,1840,197588
"0,0,0,0,0,0,1,0",0.838235433239187,0.060413074647290815,10,1840,197588
"0,0,0,0,0,1,0,0",0.8728683641957659,0.09748517814086852,10,1840,197588
"0,0,0,0,1,0,0,0",0.8831809834984,0.06459870267836948,10,1840,197588
"0,0,0,1,0,0,0,0",0.8620844239925617,0.05589223564794259,10,1840,197588
"0,0,1,0,0,0,0,0",0.9163559202477032,0.08242966923843563,10,1840,197588
"0,1,0,0,0,0,0,0",0.8436427054965293,0.05953542494795361,10,1840,197588
"1,0,0,0,0,0,0,0",0.9306470156965659,0.06386524882815031,10,1840,197588
"1,1,1,1,1,1,1,1",2.003693471243449,0.09659858804955597,10,1840,197588
