config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0",0.6189940769290706,0.03554418135667028,5,10485,207485
"0,0,0,0,0,0,0,0,0,1",0.706241905575715,0.03216944005945426,5,10485,207485
"0,0,0,0,0,0,0,0,1,0",0.7013611204081049,0.047274909108233024,5,10485,207485
"0,0,0,0,0,0,0,1,0,0",0.9043791205394411,0.030622956857954402,5,10485,207485
"0,0,0,0,0,0,1,0,0,0",0.7667824463792356,0.06065460170893337,5,10485,207485
"0,0,0,0,0,1,0,0,0,0",0.758070289840162,0.058420257331616224,5,10485,207485
"0,0,0,0,1,0,0,0,0,0",0.8035576280379196,0.0741386938286437,5,10485,207485
"0,0,0,1,0,0,0,0,0,0",1.1699450555016306,0.058109739602504214,5,10485,207485
"0,0,1,0,0,0,0,0,0,0",1.0884591386434537,0.07766248477997562,5,10485,207485
"0,1,0,0,0,0,0,0,0,0",0.8178060101814333,0.08170425757549958,5,10485,207485
"1,0,0,0,0,0,0,0,0,0",0.7555498827079348,0.04218441739773709,5,10485,207485
"1,1,1,1,1,1,1,1,1,1",2.625292457366318,0.12470743018142647,5,10485,207485
