config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.9372411393925043,0.09719813803296667,5,199917,186130
"0,0,0,0,0,0,0,0,0,0,0,0,0,1",1.1994381138763128,0.09214375201068559,5,199917,186130
"0,0,0,0,0,0,0,0,0,0,0,0,1,0",1.136438239545964,0.09730948322066822,5,199917,186130
"0,0,0,0,0,0,0,0,0,0,0,1,0,0",1.2713168196072384,0.10316578112615678,5,199917,186130
"0,0,0,0,0,0,0,0,0,0,1,0,0,0",1.3627995253168692,0.0832182099571652,5,199917,186130
"0,0,0,0,0,0,0,0,0,1,0,0,0,0",1.331490708175648,0.07615213890437668,5,199917,186130
"0,0,0,0,0,0,0,0,1,0,0,0,0,0",1.2911266907697034,0.0915118224622513,5,199917,186130
"0,0,0,0,0,0,0,1,0,0,0,0,0,0",1.2345192588318838,0.0832222887123859,5,199917,186130
"0,0,0,0,0,0,1,0,0,0,0,0,0,0",1.103096032021999,0.08415543649382201,5,199917,186130
"0,0,0,0,0,1,0,0,0,0,0,0,0,0",1.1211449727265566,0.08566302204065705,5,199917,186130
"0,0,0,0,1,0,0,0,0,0,0,0,0,0",1.3070836091913494,0.11237608439984546,5,199917,186130
"0,0,0,1,0,0,0,0,0,0,0,0,0,0",1.2260230601930453,0.07831451988036198,5,199917,186130
"0,0,1,0,0,0,0,0,0,0,0,0,0,0",1.3074100698240998,0.09733418431809576,5,199917,186130
"0,1,0,0,0,0,0,0,0,0,0,0,0,0",1.30207500879976,0.1120003162836985,5,199917,186130
"1,0,0,0,0,0,0,0,0,0,0,0,0,0",2.038654829007668,0.1215009827946178,5,199917,186130
"1,1,1,1,1,1,1,1,1,1,1,1,1,1",5.293156730296011,0.14198932638234543,5,199917,186130
