pre_mtype,post_mtype,gsyn,gsynSD,nrrp,dtc,dtcSD,u,uSD,d,dSD,f,fSD,gsynSRSF,uHillCoefficient,synapse_type,nrrpSD,spinevol,spinevolSD,u_gsyn_r,gsyn_nrrp_r,spinevol_nrrp_r,spinevol_gsyn_r,gsynDist,nrrpDist,uDist,dDist,fDist,spinevolDist
L2_IPC,L2_IPC,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L2_TPC:A,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L2_TPC:B,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L3_TPC:A,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L3_TPC:C,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L4_SSC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L4_TPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L4_UPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L5_TPC:A,0.47,0.2,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC_L5TTPC,1.5,0.0432650057887969,0.0184106407611902,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L5_TPC:B,0.47,0.2,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC_L5TTPC,1.5,0.0432650057887969,0.0184106407611902,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L5_TPC:C,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L5_UPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L6_BPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L6_HPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L6_IPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L6_TPC:A,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L6_TPC:C,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_IPC,L6_UPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L2_IPC,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L2_TPC:A,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L2_TPC:B,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L3_TPC:A,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L3_TPC:C,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L4_SSC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L4_TPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L4_UPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L5_TPC:A,0.47,0.2,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC_L5TTPC,1.5,0.0432650057887969,0.0184106407611902,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L5_TPC:B,0.47,0.2,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC_L5TTPC,1.5,0.0432650057887969,0.0184106407611902,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L5_TPC:C,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L5_UPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L6_BPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L6_HPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L6_IPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L6_TPC:A,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L6_TPC:C,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:A,L6_UPC,0.68,0.44,1.5,1.74,0.18,0.5,0.02,671.0,17.0,17.0,5.0,0.7,2.79,E2,1.5,0.0625961785880467,0.0405034096746184,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:B,L2_IPC,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:B,L2_TPC:A,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
L2_TPC:B,L2_TPC:B,1.0,0.5,2.6,1.74,0.18,0.46,0.26,671.0,17.0,17.0,5.0,0.7,2.79,E2_L23PC,2.6,0.092053203805951,0.0460266019029755,0.9,0.9,0.92,0.88,gamma,poisson,beta,gamma,gamma,gamma
