pre_gid,post_gid,freq_hz,delay_ms,n_synapses,n_potentiated_initial,n_potentiated_final,n_0to1,n_1to0,initial_rho_array,final_rho_array,initial_rho_bin,final_rho_bin,mean_epsp_before,mean_epsp_after,epsp_ratio
180164,197248,10.0,-50.0,4,2,2,0,0,"[1.0, 0.0, 1.0, 0.0]","[0.652113, 0.449939, 0.656788, 0.0]","[1, 0, 1, 0]","[1, 0, 1, 0]",1.3503350694748417,1.3503350694748417,1.0083629333164386
180236,203656,10.0,-50.0,8,3,3,2,2,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.077001, 0.932801, 0.077375, 0.679349, 0.55948, 0.160579, 0.0, 0.128385]","[0, 1, 1, 0, 0, 1, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 0]",1.5000173534132406,1.9726682693089872,1.32124603275685
180329,189548,10.0,-50.0,4,2,0,0,2,"[1.0, 1.0, 0.0, 0.0]","[0.438833, 0.483844, 0.473825, 0.490217]","[1, 1, 0, 0]","[0, 0, 0, 0]",1.3000633885575328,0.2108644313357808,0.16361940649151108
180687,187024,10.0,-50.0,7,4,2,0,2,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[0.481281, 0.369211, 1.0, 0.0, 0.0, 0.472074, 0.544948]","[1, 0, 1, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 1]",1.6253912852413142,0.8886309294757755,0.5495719553156115
180723,207048,10.0,-50.0,10,5,5,1,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[0.545324, 0.324119, 0.280544, 1.0, 0.473458, 0.898522, 1.0, 0.242504, 0.0, 1.0]","[0, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",4.400504749829486,4.068194859004545,0.9334753665132474
180815,206160,10.0,-50.0,14,7,8,1,0,"[1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.920907, 0.0, 0.547165, 0.843152, 0.362047, 1.0, 0.0, 0.309911, 0.821556, 0.0, 0.0, 0.542978, 0.845659, 1.0]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]",2.485215616303847,2.5687128799830155,1.0987061214775733
180834,205125,10.0,-50.0,5,3,2,0,1,"[0.0, 0.0, 1.0, 1.0, 1.0]","[0.431483, 0.460362, 0.603998, 0.403731, 0.612844]","[0, 0, 1, 1, 1]","[0, 0, 1, 0, 1]",2.04071236596328,0.8048758649048684,0.3957560584903901
181002,188173,10.0,-50.0,9,4,4,0,0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[0.621693, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[1, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 1, 0]",1.7103073873347658,1.7103073873347658,1.0063469966970993
181023,208822,10.0,-50.0,4,2,2,1,1,"[0.0, 1.0, 1.0, 0.0]","[0.568548, 0.549035, 0.226696, 0.284765]","[0, 1, 1, 0]","[1, 1, 0, 0]",1.3152556806315001,1.487418292677952,1.142878570903216
181295,210119,10.0,-50.0,9,5,3,0,2,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.630108, 0.441915, 0.0, 0.32069, 0.0, 0.0, 1.0]","[0, 1, 1, 1, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 0, 0, 0, 0, 1]",3.008892835511307,1.955400109042499,0.6608041854592394
181588,206273,10.0,-50.0,8,4,4,3,3,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.606376, 0.353924, 0.543941, 0.592622, 0.537777, 0.0, 0.023306, 0.177281]","[0, 1, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 0, 0]",1.0663860012584387,1.4603092016064867,1.3963268447011257
182072,199843,10.0,-50.0,7,4,1,0,3,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[0.425539, 0.384485, 0.574878, 0.0, 0.0, 0.218487, 0.149223]","[1, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0]",3.3702220490220873,1.05244548891844,0.3133174586557
182354,185997,10.0,-50.0,10,5,5,1,1,"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[0.402848, 0.613219, 0.300779, 0.0, 1.0, 1.0, 0.548457, 0.0, 0.0, 1.0]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]",2.7841428864838265,2.402470542459175,0.8651609785545138
182369,181607,10.0,-50.0,5,1,0,0,1,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.462422, 0.0, 0.0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 0]",1.890689514944936,0.7870588156692516,0.4172377799752218
182581,208651,10.0,-50.0,4,3,0,0,3,"[1.0, 1.0, 0.0, 1.0]","[0.449102, 0.094005, 0.0, 0.461406]","[1, 1, 0, 1]","[0, 0, 0, 0]",1.2466489006211838,0.1230608838388404,0.09907967184684996
182967,198780,10.0,-50.0,10,6,4,3,5,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[0.580078, 0.353904, 0.585987, 0.455714, 0.485658, 0.415723, 0.44295, 0.582557, 0.616538, 0.436406]","[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",1.888907079208392,1.54127841801381,0.8305819823015854
183423,197906,10.0,-50.0,7,2,2,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.590534, 0.546023, 0.0, 0.389879, 0.268728, 0.437483, 0.0]","[0, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 0]",1.277267934628681,1.3760190588476129,1.080933468005628
183796,186882,10.0,-50.0,11,5,4,1,2,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[0.486172, 0.488803, 0.0, 1.0, 0.0, 1.0, 0.0, 0.316694, 0.35414, 1.0, 0.577748]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",2.004656692239265,1.4759898609968025,0.7460226233001919
184015,184061,10.0,-50.0,7,5,4,1,2,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[0.600431, 0.620631, 0.481569, 0.563234, 0.686814, 0.0, 0.344929]","[1, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 0]",1.7220825838071119,1.5041964753266674,0.881016780212506
184033,189853,10.0,-50.0,7,2,4,4,2,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.473396, 0.601728, 0.537362, 0.121461, 0.434358, 0.615278, 0.610134]","[1, 0, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1]",1.2074199308863212,2.081014495405329,1.7262732277414243
