ca,dt,mean,sem,count
1.3,-50,1.00829933716212,0.0005533028986651813,100
1.3,-30,1.00829933716212,0.0005533028986651813,100
1.3,-10,1.0083458621351904,0.0005569409199533266,99
1.3,5,1.0554727400201147,0.02453059308953129,98
1.3,10,1.0311757187915387,0.02115018332683616,99
1.3,30,1.0107286246726706,0.01425605959137918,100
1.3,50,1.00829933716212,0.0005533028986651813,100
1.8,-50,0.8986205277087497,0.02323465631266389,100
1.8,-30,0.9152280296893334,0.01959716402321454,100
1.8,-10,0.9056172137016945,0.028453027773486298,96
1.8,5,1.0530055931758904,0.05545574285654564,93
1.8,10,0.9441372976189283,0.050709787213859256,96
1.8,30,0.933866601739403,0.04103513303030599,99
1.8,50,0.9167926451825128,0.03391869653222939,99
2.0,-50,0.8467959569277446,0.03702723750232908,100
2.0,-30,0.8455831026854908,0.03698250068729136,100
2.0,-10,0.8077134451831494,0.03709962937344036,100
2.0,5,1.2196274707076262,0.07671383316900657,100
2.0,10,1.132939890664317,0.07223184346714656,100
2.0,30,0.9568767732129863,0.04942713855074852,100
2.0,50,0.8474340745929675,0.03800184119239979,100
3.0,-50,1.051745943642294,0.06769883864138215,100
3.0,-30,0.9991242855104613,0.06738978482438811,99
3.0,-10,1.0786955687345616,0.08911038960953739,81
3.0,5,1.465755326456235,0.08704862994479512,76
3.0,10,1.47278540984877,0.08030091466146376,83
3.0,30,1.2170335700024415,0.07692255872597023,98
3.0,50,1.117638796732629,0.07649268061613032,99
