pregid,postgid,frequency_train,dt_train,path,epsp_before,epsp_after,epsp_ratio,epsp_before_std,epsp_after_std,N,apical_ratio,Use_before_mean,Use_before_std,Dep_mean,Dep_std,Fac_mean,Fac_std,gmax_AMPA_before_mean,gmax_AMPA_before_std,spine_volume_mean,spine_volume_std,Nrrp_mean,Nrrp_std,Cpre_mean,Cpre_std,Cpost_mean,Cpost_std,risetime
147061,138412,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/147061-138412/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
142258,160825,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/142258-160825/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
157785,159355,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/157785-159355/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
143373,161321,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/143373-161321/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
139441,140595,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/139441-140595/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
139788,155288,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/139788-155288/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
139226,154969,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/139226-154969/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
159294,160188,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/159294-160188/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
136210,155795,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/136210-155795/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
150474,148460,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/150474-148460/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
138940,139864,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/138940-139864/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
161175,154543,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/161175-154543/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
147502,161853,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/147502-161853/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
143579,147414,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/143579-147414/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
146330,156703,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/146330-156703/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
159979,142316,100.0,25,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/sjostrom_2001/simulations/L5TTPC_L5TTPC/159979-142316/100Hz_25ms/simulation.batch,,,,,,,,,,,,,,,,,,,,,,,,
